"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]","re(Mode(3)) [g]","re(Mode(4)) [g]","re(Mode(5)) [g]","re(Mode(6)) [g]","re(Mode(7)) [g]","re(Mode(8)) [g]"
1,3.31532801725701,3.69530181535963,4.2218114959815,4.23366363684026,5.85803067881162,6.21645583635691,6.66942844999132,6.78331863798743
2,4.3359702581845,4.6885133357366,4.69539357807093,4.71376554377011,6.73506741618327,6.97888364810006,7.52906970253876,7.59960910331484
3,5.16289742890194,5.17788154880077,5.20509276568356,5.39294878780038,7.31533128907637,7.4484627328853,7.74555049876687,7.90122921119622
